Lycan STATS,|
PATCH,CATEGORY,ORDINAL RANK,PERCENT VALUE
7.06,Highest winrate,1,56
7.06,Most picked,55,8
7.06,Most contested,33,23
7.06,Most banned,21,15
7.06,Most first-picked,88,0
7.06,Most banned in first ban phase,38,5
7.05,Highest winrate,5,60
7.05,Most picked,55,5
7.05,Most contested,57,9
7.05,Most banned,53,4
7.05,Most banned in first ban phase,40,1
7.04,Most picked,108,0
7.04,Most contested,108,1
7.04,Most banned,81,1
7.03,Most picked,95,1
7.03,Most contested,80,3
7.03,Most banned,69,1
7.03,Most banned in first ban phase,41,0
7.02,Highest winrate,11,59
7.02,Most picked,75,3
7.02,Most contested,56,8
7.02,Most banned,48,5
7.02,Most banned in first ban phase,31,2
7.01,Highest winrate,11,59
7.01,Most banned in first ban phase,55,0
6.88F,Highest winrate,106,36
6.88F,Most picked,99,1
6.88F,Most contested,92,2
6.88F,Most banned,80,1
6.88e,Highest winrate,85,29
6.88e,Most picked,88,2
6.88e,Most contested,85,3
6.88e,Most banned,76,1
6.88d,Highest winrate,93,25
6.88d,Most picked,98,1
6.88d,Most contested,75,3
6.88d,Most banned,63,2
6.88b,Highest winrate,102,31
6.88b,Most picked,85,2
6.88b,Most contested,70,5
6.88b,Most banned,52,4
6.88b,Most banned in first ban phase,52,0
6.88,Highest winrate,81,43
6.88,Most picked,50,5
6.88,Most contested,43,13
6.88,Most banned,36,8
6.88,Most banned in first ban phase,38,1
6.87,Most picked,45,7
6.87,Most contested,39,16
6.87,Most banned,34,10
6.87,Most first-picked,35,0
6.87,Most banned in first ban phase,25,2
6.86,Highest winrate,4,59
6.86,Most picked,54,6
6.86,Most contested,45,14
6.86,Most banned,39,8
6.86,Most first-picked,46,0
6.86,Most banned in first ban phase,44,1
6.85,Highest winrate,42,50
6.85,Most picked,77,2
6.85,Most contested,70,4
6.85,Most banned,60,2
6.84,Highest winrate,67,48
6.84,Most picked,83,2
6.84,Most contested,67,6
6.84,Most banned,49,4
6.84,Most banned in first ban phase,60,0
6.83,Highest winrate,37,52
6.83,Most picked,40,9
6.83,Most contested,30,26
6.83,Most banned,22,17
6.83,Most first-picked,29,1
6.83,Most banned in first ban phase,16,6
6.82,Highest winrate,26,53
6.82,Most picked,29,11
6.82,Most contested,20,36
6.82,Most banned,12,25
6.82,Most first-picked,22,1
6.82,Most banned in first ban phase,11,14
6.81b,Highest winrate,26,53
6.81b,Most picked,26,15
6.81b,Most contested,1,91
6.81b,Most banned,1,76
6.81b,Most first-picked,5,8
6.81b,Most banned in first ban phase,1,73
6.81,Highest winrate,3,59
6.81,Most picked,27,13
6.81,Most contested,3,85
6.81,Most banned,2,72
6.81,Most first-picked,6,6
6.81,Most banned in first ban phase,2,67
6.80,Highest winrate,3,63
6.80,Most picked,29,13
6.80,Most contested,6,60
6.80,Most banned,2,47
6.80,Most first-picked,5,6
6.80,Most banned in first ban phase,2,44
6.79,Highest winrate,87,31
6.79,Most picked,72,2
6.79,Most contested,74,3
6.79,Most banned,73,1
6.79,Most banned in first ban phase,68,0
6.78,Highest winrate,70,44
6.78,Most picked,76,1
6.78,Most contested,89,1
6.78,Most banned,85,0
6.77,Highest winrate,76,43
6.77,Most picked,69,2
6.77,Most contested,62,5
6.77,Most banned,56,2
6.77,Most banned in first ban phase,47,0
6.76,Highest winrate,71,33
6.76,Most picked,60,2
6.76,Most contested,58,3
6.76,Most banned,47,2
6.76,Most banned in first ban phase,31,1
6.75,Highest winrate,56,29
6.75,Most picked,54,4
6.75,Most contested,37,15
6.75,Most banned,27,10
6.75,Most banned in first ban phase,17,5
6.74 and below,Highest winrate,56,29
6.74 and below,Most picked,35,8
6.74 and below,Most contested,1,98
6.74 and below,Most banned,1,90
6.74 and below,Most first-picked,7,6
6.74 and below,Most banned in first ban phase,1,90
